Location Name,Co-working,F&B Total,Miscellaneous Income,Retail Store,Rooms,Surf,Total Operating Revenue,Travel & Tours,Wellness,Country,Region
Candelaria,1208.981921,9882.415736,45.3864698,200.0451404,17768.36535,0,29771.41037,185.9485418,480.2672098,Colombia,Central America
Candelaria ACT,1208.984614,9771.395934,42.07168224,81.57851058,18149.60362,0,30020.92421,185.9471954,581.3426492,Colombia,Central America
Candelaria FOR,1379.232965,8751.609593,3880.458238,3596.428929,30374.3328,0,52748.35544,1871.726705,2894.566205,Colombia,Central America
Cartagena,0,668.53962,0,0,25000.60808,0,25669.1477,0,0,Colombia,Central America
Cartagena ACT,0,640.902958,0,0,24617.8418,0,25258.74476,0,0,Colombia,Central America
Cartagena FOR,0,0,0,250.3665,36639,0,36889.3665,0,0,Colombia,Central America
Chapinero,972.3447092,7688.953042,1012.257879,0,23914.88803,0,33835.85773,0,247.428064,Colombia,Central America
Chapinero ACT,394.0459857,8952.206259,0,80.32035564,25408.57682,0,35075.32818,0,240.1787576,Colombia,Central America
Chapinero FOR,4122.532205,16931.31209,5062.758848,578.6010112,31222.95859,0,65873.92665,5062.758848,2893.005056,Colombia,Central America
Medellin,200.7605744,4062.561726,1593.118,98.981114,17123.60804,126.0918264,23339.80209,134.6808104,0,Colombia,Central America
Medellin ACT,184.2267802,2583.376598,1615.421652,76.86170956,12914.7025,0,17665.24323,173.0347799,117.6192093,Colombia,Central America
Medellin FOR,186.791908,6725.892331,2075.465644,485.6589607,18756.51243,617.1051182,29658.24164,632.3251996,178.4900454,Colombia,Central America
Parque 93,286.215195,18622.17856,493.441485,472.477605,41525.50862,0,61600.91942,0,201.09796,Colombia,Central America
Parque 93 ACT,247.7273415,17240.53824,0,421.3504175,33793.07854,329.5585715,52205.53233,0,173.279224,Colombia,Central America
Parque 93 FOR,200.7992386,16658.02787,0,650.8664975,37034.8015,1166.020406,57012.2485,1135.554315,166.1786802,Colombia,Central America
Quindio,0,9127.976659,114.6426876,0,7352.091362,0,16594.71071,0,0,Colombia,Central America
Quindio ACT,0,8497.462445,0,0,8301.77049,0,16799.23293,0,0,Colombia,Central America
Quindio FOR,0,20567.4,0,0,12340.44,0,32907.84,0,0,Colombia,Central America
Villa de Leyva,0,0,697.97,0,0,0,697.97,0,0,Colombia,Central America
Villa De Leyva ACT,0,0,652.3088026,0,0,0,652.3088026,0,0,Colombia,Central America
Villa De Leyva FOR,0,697.97,651.90398,0,0,0,1349.87398,0,0,Colombia,Central America
Jaco,0,0,0,0,14055.69178,0,14055.69178,0,0,Costa Rica,Central America
Jaco ACT,0,0,0,0,14547.43799,0,14547.43799,0,0,Costa Rica,Central America
Jaco FOR,0,0,0,0,17484.768,0,17484.768,0,0,Costa Rica,Central America
La Fortuna,4762.808642,6822.979704,0,556.3542116,91733.04181,247.267053,104507.303,145.8334152,239.0047638,Costa Rica,Central America
La Fortuna ACT,7924.142314,10951.65097,0,683.9397327,88021.71241,0,107987.9514,278.7506531,127.7553125,Costa Rica,Central America
La Fortuna FOR,7243.510876,14527.58061,0,1051.525843,119832.6061,0,144142.3814,1149.167528,337.9904494,Costa Rica,Central America
Manuel Antonio,0,40415.10898,0,108.1240372,97082.89836,0,137606.1314,0,0,Costa Rica,Central America
Manuel Antonio ACT,0,37947.44438,0,101.896389,93183.97653,0,131233.3173,0,0,Costa Rica,Central America
Manuel Antonio FOR,0,98694.4103,0,1535.906314,110952.1408,0,211182.4574,0,0,Costa Rica,Central America
Miramar,110.2857736,2646.149646,838.2080204,0,7268.685965,0,10863.3294,0,0,Costa Rica,Central America
Miramar ACT,0,3366.590698,934.5197219,0,7674.05777,0,11975.16819,0,0,Costa Rica,Central America
Miramar FOR,948.00728,6873.268236,0,486.931012,9869.284,0,18177.49053,0,0,Costa Rica,Central America
Monteverde,0,3927.383026,0,420.234344,16911.87222,0,21259.48959,0,0,Costa Rica,Central America
Monteverde ACT,0,6016.582147,0,420.1770078,17974.22667,0,24410.98582,0,0,Costa Rica,Central America
Monteverde FOR,0,3333.30951,0,266.6639992,17334.2,0,21000.83951,0,66.6659998,Costa Rica,Central America
Nosara,0,0,0,0,0,0,0,0,0,Costa Rica,Central America
Nosara ACT,0,105.543684,0,6.236418,4985.77848,0,5097.558582,0,0,Costa Rica,Central America
Nosara FOR,0,0,0,0,2796.6,0,2796.6,0,0,Costa Rica,Central America
Puerto Viejo,0,11519.69461,1.39358,430.2260176,25219.40822,34.8395,38390.31397,756.365545,428.386492,Costa Rica,Central America
Puerto Viejo ACT,0,9303.46204,0,667.0398542,23712.05775,82.58494438,34663.68873,320.1401655,578.4039854,Costa Rica,Central America
Puerto Viejo FOR,250.5408783,14502.14117,0,797.5551292,22899.30656,311.7842041,42083.77837,2838.071393,484.3790313,Costa Rica,Central America
San Jose,92.3245806,15067.12878,0,184.359483,6210.066075,0,21640.90652,0,87.0276078,Costa Rica,Central America
San Jose ACT,73.7437932,15483.52601,0,184.3663801,7109.636895,0,22928.32748,0,77.0544012,Costa Rica,Central America
San Jose FOR,218.0000055,10279.57711,57.74362474,534.663192,15063.2664,0,28648.34522,1390.124299,1104.970597,Costa Rica,Central America
